[15:03:01] Start!!
[15:03:05] 0.9663172 mAp
[15:03:05] 0.9663024 mAp
[15:03:05] 0.9663447 mAp
[15:03:05] 0.9663299 mAp
[15:03:05] 0.966372 mAp
[15:03:05] 0.9663767 mAp
[15:03:05] 0.9663727 mAp
[15:03:05] 0.9663604 mAp
[15:03:05] 0.9663483 mAp
[15:03:05] 0.9663283 mAp
[15:03:05] 0.9663358 mAp
[15:03:05] 0.9663069 mAp
[15:03:05] 0.9662892 mAp
[15:03:05] 0.9662597 mAp
[15:03:05] 0.9662355 mAp
[15:03:05] 0.9662399 mAp
[15:03:05] 0.9662465 mAp
[15:03:05] 0.9662513 mAp
[15:03:05] 0.9662824 mAp
[15:03:05] 0.966287 mAp
[15:03:05] 0.9663166 mAp
[15:03:05] 0.9663383 mAp
[15:03:05] 0.96636 mAp
[15:03:05] 0.9663816 mAp
[15:03:05] 0.966386 mAp
[15:03:05] 0.9664326 mAp
[15:03:05] 0.9664791 mAp
[15:03:05] 0.9664624 mAp
[15:03:05] 0.9664384 mAp
[15:03:05] 0.9664251 mAp
[15:03:05] 0.9664115 mAp
[15:03:05] 0.9664625 mAp
[15:03:05] 0.966449 mAp
[15:03:05] 0.9664997 mAp
[15:03:05] 0.9665046 mAp
[15:03:05] 0.9665015 mAp
[15:03:05] 0.9664903 mAp
[15:03:05] 0.9664792 mAp
[15:03:05] 0.9664604 mAp
[15:03:05] 0.9664698 mAp
[15:03:05] 0.9664423 mAp
[15:03:05] 0.9664266 mAp
[15:03:05] 0.9663985 mAp
[15:03:05] 0.9663756 mAp
[15:03:05] 0.9663769 mAp
[15:03:05] 0.9663817 mAp
[15:03:05] 0.9663864 mAp
[15:03:05] 0.9664143 mAp
[15:03:05] 0.966419 mAp
[15:03:05] 0.9664442 mAp
[15:03:05] 0.9664639 mAp
[15:03:05] 0.9664837 mAp
[15:03:05] 0.9665033 mAp
[15:03:05] 0.9665074 mAp
[15:03:05] 0.9665506 mAp
[15:03:05] 0.9665937 mAp
[15:03:05] 0.9665779 mAp
[15:03:05] 0.966555 mAp
[15:03:05] 0.9665429 mAp
[15:03:05] 0.9665297 mAp
[15:03:05] 0.9665745 mAp
[15:03:05] 0.9665613 mAp
[15:03:05] 0.966606 mAp
[15:03:05] 0.9666118 mAp
[15:03:05] 0.9666101 mAp
[15:03:05] 0.9666003 mAp
[15:03:05] 0.9665906 mAp
[15:03:05] 0.9665732 mAp
[15:03:05] 0.966584 mAp
[15:03:05] 0.9665577 mAp
[15:03:05] 0.9665403 mAp
[15:03:05] 0.9665135 mAp
[15:03:05] 0.9664915 mAp
[15:03:05] 0.9664891 mAp
[15:03:05] 0.9664921 mAp
[15:03:05] 0.966497 mAp
[15:03:05] 0.966522 mAp
[15:03:05] 0.9665268 mAp
[15:03:05] 0.9665455 mAp
[15:03:05] 0.9665604 mAp
[15:03:05] 0.9665753 mAp
[15:03:05] 0.9665901 mAp
[15:03:05] 0.9665921 mAp
